MalfunctionDate,NotificationNo,NotificationSO,CustomerName,NotificationSubject,EmployeeName,Status
3/26/2013 1:15:53 PM,000100647251,000300515682,"Thai Orix Leasing Co.,Ltd.",6T/2Yrs.GI.Manoscan.Vejthani (Thai ORIX),Thitipong_l,Finish
3/27/2013 6:12:34 PM,000100647577,000300526770,Chulalongkorn Hospital,Gastro sn.12955.Polygram net Hang.QTN.37,Thitipong_l,Finish
3/25/2013 11:10:07 AM,000100646985,000300525798,"Kosin Medical Supply Co.,Ltd.",6T/2Yrs.Restech.sn.2054.Rama.(Kosin),Thitipong_l,Finish
3/7/2013 5:19:00 PM,000100644710,000300523954,Chulalongkorn Hospital,Restech.sn.2179.-แนะนำการใช้งาน 11.3.201,Thitipong_l,Finish
3/27/2013 10:14:00 AM,000700142117,000200338495,"BNH  Medical Centre Ltd.,",3T/1Y.Duet G2.sn.11185.BNH.Hospital,Thitipong_l,Finish
3/12/2013 11:20:10 AM,000100645167,000300524480,Khonkaen University,ACH. INSIGHT SN.33586 - CD ROM เสีย,Thitipong_l,Finish
3/5/2013 12:23:32 PM,000700142075,000200327621,Lampang Hospital,"3T/1Y.SCAN LT 3EA,EEG.3EA.Lampang Hos.",Thitipong_l,Finish
3/25/2013 11:01:05 AM,000100646983,000300525797,"Paolo Medic Co.,Ltd.",DTZ.sn.IL00396.err 10.export.TS008/2013,Thitipong_l,Finish
3/25/2013 11:03:05 AM,000100646984,000300512326,Ramathibodi Hospital,6T/2Yrs.Manoscan.5ea.Rama.H,Thitipong_l,Finish
3/25/2013 10:56:40 AM,000100646981,000300525794,Ramathibodi Hospital,6T/2Yrs.Manoscan360.sn.MSM.IL0211 Rama.H,Thitipong_l,Finish
