MalfunctionDate,NotificationNo,NotificationSO,CustomerName,NotificationSubject,EmployeeName,Status
6/6/2013 11:52:17 AM,000100657121,000300521520,Phayathai 2 Hospital,9T/3Yrs.Prodigy.350655.Phayathai 2 Hos.,Thitipong_l,Assigned
6/28/2013 4:44:07 PM,000100660473,000300525795,Ramathibodi Hospital,6T/2Yrs.Manoscan360.sn.MSM.IL0211 Rama.H,Thitipong_l,Assigned
6/28/2013 4:37:12 PM,000100660471,000300526011,"Thai Orix Leasing Co.,Ltd.",6T/2Yrs.GI.Manoscan.Vejthani (Thai ORIX),Thitipong_l,Assigned
6/28/2013 4:39:43 PM,000100660472,000300526905,Ramathibodi Hospital,6T/2Yrs.Manoscan.5units.Rama.Kosin Pr.,Thitipong_l,Assigned
6/25/2013 3:48:47 PM,000100659856,000300535458,Bangkok Dusit Medical Services,PHZ.DTZ.stand by case.BKK-Hospital.,Thitipong_l,Assigned
6/28/2013 4:33:22 PM,000700142279,000200338622,Bumrungrad Hospital Public Company,"3T/1Y.GI,PH,Bravo.4units.AssetBumrungrad",Thitipong_l,Assigned
6/21/2013 7:55:11 PM,000100659488,000300535413,Chulalongkorn Hospital,Polygram net,Thitipong_l,Assigned
6/28/2013 4:54:34 PM,000100660474,000300525799,"Kosin Medical Supply Co.,Ltd.",6T/2Yrs.Restech.sn.2054.Rama.(Kosin),Thitipong_l,Assigned
6/17/2013 12:01:57 PM,000100658617,000300534529,Ramathibodi Hospital,Receive catheter,Thitipong_l,In Process
6/7/2013 11:52:00 AM,000700142236,000200344177,Mahavajiralongkorn cancer center,3T/1Y.Prodigy & Atomlab.Thanya cancer.,Thitipong_l,Finish
6/11/2013 5:42:30 PM,000100657903,000300533957,"Paolo Medic Co.,Ltd.",Manoscan PH.introduce for analyzer.,Thitipong_l,Finish
6/7/2013 5:08:57 PM,000100657500,000300533745,Ramathibodi Hospital,Manoscan Impedance pressure hight,Thitipong_l,Finish
6/11/2013 12:45:01 PM,000100657821,000300533878,Prince of Songklanakarint Universit,KP.Focus missing stim.,Thitipong_l,Finish
6/6/2013 12:07:39 PM,000700142234,000200335443,"Amway (Thailand) Co., Ltd.",3T/1Y.Ach.Ins.sn.33031.Amway.Phraram 2,Thitipong_l,Finish
6/20/2013 2:01:48 PM,000100659291,000200348579,"Vichaiyut Co.,Ltd.",Polygraf ID.Pressure transducer,Thitipong_l,Finish
6/10/2013 1:48:17 PM,000100657660,000300533757,Prince of Songklanakarint Universit,Pves ไม่ติด,Thitipong_l,Finish
6/28/2013 12:12:40 PM,000100660388,000300526352,"Paolo Medic Co.,Ltd.",6T/2Yrs.Manoscan360.sn.MSM.IL0216.PaoloH,Thitipong_l,Finish
6/27/2013 5:42:57 PM,000100660268,000300527740,Chulabhorn Hospital,8T/2Yrs.Atomlab950.Chulaporn Hos.,Thitipong_l,Finish
6/3/2013 12:39:05 PM,000100656540,000300524078,Siriraj Hospital,6T/2Yrs.Urodyn+sn.702.Siriraj Hos.,Thitipong_l,Finish
6/12/2013 12:37:46 PM,000100657978,000300534019,Ramathibodi Hospital,Software Error,Thitipong_l,Finish
6/19/2013 11:43:21 AM,000100659020,000300534813,Chulalongkorn Hospital,SENSIC sn.16002- แนะนำการตรวจเช็ค,Thitipong_l,Finish
6/4/2013 10:33:22 AM,000100656724,000300533014,Chulalongkorn Hospital,Polygram net.,Thitipong_l,Finish
6/7/2013 3:36:45 PM,000100657451,000300533617,Prince of Songklanakarint Universit,Greal T4.มีสัญญาณรบกวน,Thitipong_l,Finish
6/17/2013 11:53:00 AM,000100658616,000300534526,"Samitivej Co.,ltd. (Public)",PH.upload fail.,Thitipong_l,Finish
6/21/2013 12:02:22 PM,000100659397,000300535119,"Paolo Medic Co.,Ltd.",PSG.เครื่องดับบ่อย,Thitipong_l,Finish
6/3/2013 6:13:16 PM,000100656645,000300532958,Siriraj Hospital,8T/2Yrs.iDXA.sn.210141.Siriraj Hos.,Thitipong_l,Finish
6/20/2013 11:08:35 AM,000100659246,000300534969,Phayathai 1 Hospital,Gastro Polygraf sn.1808 pm.1time.,Thitipong_l,Finish
6/28/2013 10:14:48 AM,000100660382,000300535856,Vejthani Hospital,Manoscan A120.Patients not analyzed.,Thitipong_l,Finish
