MalfunctionDate,NotificationNo,NotificationSO,CustomerName,NotificationSubject,EmployeeName,Status
6/28/2013 3:25:21 PM,000700142285,000200341036,"Modern Med Co.,Ltd.",3T/1Y.Ach.Express sn.27106.Millimed.,Nuttawut_s,Assigned
6/28/2013 3:56:37 PM,000700142276,000200337343,"Paolo Medic Co.,Ltd.",9T/3Yrs.Prodigy sn.302931.Paolo medic H.,Nuttawut_s,Assigned
6/28/2013 3:49:29 PM,000100660459,000300524574,U-thai Thani Hospital,3T/1Y.Ach.Insight sn.33455.UThaithani H.,Nuttawut_s,Assigned
6/28/2013 4:12:15 PM,000700142278,000200348119,Bangkok Puket Hospital,3T/1Y.Prodigy sn.303070.BKK-Phuket Hos.,Nuttawut_s,Assigned
6/5/2013 1:25:44 PM,000700142224,000200331204,Pfizer (Thailand) Limited,ach.sn.32118.,Nuttawut_s,Assigned
6/28/2013 3:41:28 PM,000700142286,000200349036,Giffarine Skyline Unity Ltd.,3T/1Y.Ach.Express sn.10507.Giffarine.,Nuttawut_s,Assigned
6/28/2013 4:00:02 PM,000700142277,000200338163,"Samitivej Co.,ltd. (Public)",3T/1Y.DPX.160048.Samitivej Srinakarin H.,Nuttawut_s,Assigned
6/28/2013 3:18:00 PM,000100660427,000300523754,"Samitivej Co.,ltd. (Public)",6T/2yrs.Urodyn+.sn.732.Samitivej Sukhuvi,Nuttawut_s,Assigned
6/28/2013 4:05:17 PM,000100660454,000300529821,Ramathibodi Hospital,12T/3Yrs.iDXA.sn 210224.Rama Hos.,Nuttawut_s,Assigned
6/26/2013 2:30:13 PM,000100660031,000200348804,Burapa University,Prodigy sn.12435.loan SBC 1ea.,Nuttawut_s,In Process
6/6/2013 12:10:15 PM,000700142245,000200335140,"Amway (Thailand) Co., Ltd.",3T/1Y.Ach.Ins.sn.33033.Amway Office,Nuttawut_s,Finish
6/6/2013 12:30:00 PM,000100657152,000300531200,"Samitivej Sriracha Hospital Co., Lt",6T/2Yrs.DPX.sn.151951.Samitivej Sriracha,Nuttawut_s,Finish
6/10/2013 10:07:00 AM,000100657607,000200347235,Siriraj Hospital,"Prodigy detector ch.2,3 เสีย",Nuttawut_s,Finish
6/4/2013 10:56:20 AM,000100656736,000300533022,Mahidol University,6T/2Yrs.Ach.ExpresII sn.605293Golden Ju,Nuttawut_s,Finish
6/14/2013 11:54:40 AM,000200055837,000700098490,Jebsen & Jessen Technology (T) Ltd,Vachira Hos.loan demo unit Achilles,Nuttawut_s,Finish
6/6/2013 11:56:35 AM,000100657122,000300533353,Buddha Herbal Foundation Of Thailan,3T/1Y.DPX.151878.Naval &Herbal.,Nuttawut_s,Finish
6/6/2013 12:16:02 PM,000200055685,000700095683,Jebsen & Jessen Technology (T) Ltd,15T/5Y.Prodigy sn302932.rent PaoloNavami,Nuttawut_s,Finish
6/6/2013 12:31:43 PM,000100657153,000300526343,"Samitivej Sriracha Hospital Co., Lt",6T/2Yrs.Ach.EXP II.Samitivej Sriracha H.,Nuttawut_s,Finish
6/6/2013 12:11:49 PM,000100657128,000300523077,"Bangpo General  Hospital Co., Ltd.",6T/2Yrs.DPX-NT.sn.151896.Bangpo Hos.,Nuttawut_s,Finish
6/26/2013 11:49:21 AM,000100659985,000200348776,Siriraj Hospital,Prodigy sn.15974.loan DMB board.,Nuttawut_s,Finish
6/10/2013 3:42:19 PM,000100657689,000200347330,"Amway (Thailand) Co., Ltd.",Ach.insight sn.33033.Power supply shot,Nuttawut_s,Finish
6/21/2013 3:20:41 PM,000100659459,000300535168,Prachachuen Imaging Center Co;Ltd.,QA.fail,Nuttawut_s,Finish
6/6/2013 12:18:21 PM,000100657149,000300522199,Seriruk Hospital Ltd.,PM.9T:3Yrs.DPX-Pro.sn.151606.Seriruk H.,Nuttawut_s,Finish
6/13/2013 12:37:20 PM,000700142257,000200347866,Somdejprapin Klao Hospital,3T/1Y.DPX.151146.Somdejprapinklao H.,Nuttawut_s,Finish
6/25/2013 9:47:53 AM,000100659727,000300535375,Taksin Hospital,scanner reset.,Nuttawut_s,Finish
6/6/2013 12:27:00 PM,000100657151,000300522527,St Mary`s Hospital,9T/3Yrs.DPX.NT.sn.151708.St.mary Hos.,Nuttawut_s,Finish
6/17/2013 3:36:40 PM,000100658700,000200348284,"Amway (Thailand) Co., Ltd.",Ach.Insight Measurement not pass.,Nuttawut_s,Finish
6/6/2013 12:03:07 PM,000100657125,000300524561,"Fonterra brands (Thailand)  Co.,Ltd","6T/2Yrs.Ach.Exp.II.sn.60545,60550.Fonter",Nuttawut_s,Finish
6/7/2013 9:56:29 AM,000100657292,000300525663,Regional Health Promotion Center 7,6T/2Yrs.Prodigy Pro.350414.Anamai7.Ubon.,Nuttawut_s,Finish
6/18/2013 11:27:36 AM,000100658801,000200348365,Siriraj Hospital,Prodigy DIB power fail.,Nuttawut_s,Finish
6/10/2013 5:59:40 PM,000100657740,000300518488,Pfizer (Thailand) Limited,6T/2Y.Ach.Exp.II.3 units.Pfizer,Nuttawut_s,Finish
6/7/2013 9:58:10 AM,000100657294,000300525663,Regional Health Promotion Center 7,Prodigy sn.350414-Bids feedback not sett,Nuttawut_s,Finish
